Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login [POST],50,0,3600,3358.5662179998685,1839.4145999991451,4313.945600000807,253.0,3.5256947103164116,0.0,3600,3900,4000,4200,4200,4300,4300,4300,4300,4300,4300
POST,/api/v1/bookings/ [POST],316,0,680,804.5606145569247,23.53429999857326,2371.612000000823,267.0,22.282390569199723,0.0,680,800,920,960,1500,1900,2100,2300,2400,2400,2400
GET,/api/v1/events/ [GET],31,0,360,414.6280516128055,21.920900000623078,1380.9319000010873,532.0,2.185930720396175,0.0,360,400,430,450,590,850,1400,1400,1400,1400,1400
GET,/api/v1/events/{id} [GET],86,0,380,467.4116453488539,187.80150000020512,2253.752799999347,481.0,6.064194901744228,0.0,380,400,470,520,680,1100,1900,2300,2300,2300,2300
,Aggregated,483,0,640,983.8930356107248,21.920900000623078,4313.945600000807,320.6625258799172,34.05821090165654,0.0,640,800,950,1200,2100,3600,4200,4200,4300,4300,4300
