Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],282,0,14,17.414822340444182,5.88179999977001,183.26359999991837,267.0,20.025308548502135,0.0,14,17,19,21,26,31,85,140,180,180,180
GET,/api/v1/events/ [GET],42,0,8,9.434861904732575,2.867600000172388,57.39779999930761,982.0,2.9824927625428717,0.0,8,10,11,12,15,19,57,57,57,57,57
GET,/api/v1/events/{id} [GET],63,0,6,7.173196825360286,2.3574000006192364,27.121199998873635,481.0,4.473739143814307,0.0,6,8,10,10,12,15,18,27,27,27,27
,Aggregated,387,0,12,14.881538759694381,2.3574000006192364,183.26359999991837,379.4341085271318,27.481540454859317,0.0,12,15,17,19,24,29,51,96,180,180,180
