Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login [POST],10,0,670,737.5597200001721,428.3132000000478,1003.504399999656,253.0,0.6573278238188214,0.0,670,950,950,990,1000,1000,1000,1000,1000,1000,1000
POST,/api/v1/bookings/ [POST],243,0,43,60.8889637860482,16.788299999461742,705.0748000001477,267.0,15.973066118797359,0.0,43,55,66,71,89,120,190,700,710,710,710
GET,/api/v1/events/ [GET],30,0,23,26.845093333395198,6.274499999562977,63.58379999983299,532.0,1.9719834714564641,0.0,23,27,34,42,60,62,64,64,64,64,64
GET,/api/v1/events/{id} [GET],73,0,14,17.65491369841995,4.559400000289315,48.70239999945625,481.0,4.798493113877396,0.0,14,17,22,27,35,42,45,49,49,49,49
,Aggregated,356,0,37,68.16229466291557,4.559400000289315,1003.504399999656,332.82022471910113,23.40087052795004,0.0,37,47,58,66,88,170,670,950,1000,1000,1000
