Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],374,0,220,246.90383877006684,7.8353000008064555,1176.5578000013193,267.0,109.66454291645788,0.0,220,310,380,400,480,600,730,840,1200,1200,1200
GET,/api/v1/events/ [GET],40,0,130,127.19968499982315,3.0605999982071808,417.7436999998463,532.0,11.72882811940726,0.0,130,170,190,190,320,340,420,420,420,420,420
GET,/api/v1/events/{id} [GET],93,0,140,177.02185913969848,2.602300000944524,722.0431999994616,481.0430107526882,27.26952537762188,0.0,140,210,270,290,370,470,530,720,720,720,720
,Aggregated,507,0,190,224.6411360946546,2.602300000944524,1176.5578000013193,327.1696252465483,148.662896413487,0.0,190,290,340,380,460,560,710,790,1200,1200,1200
