Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],2319,1319,33,81.74927313502003,3.3155999990412965,507.43140000122366,154.3816300129366,165.1189694431841,93.91630905371274,33,110,140,160,220,240,290,310,490,510,510
GET,/api/v1/events/ [GET],330,0,17,46.89998121210176,3.077299999858951,216.92780000012135,980.8181818181819,23.496877928525553,0.0,17,54,83,90,130,160,170,200,220,220,220
GET,/api/v1/events/{id} [GET],598,0,14,42.673397324381654,2.203100000770064,223.69160000016564,479.7725752508361,42.57919091290388,0.0,14,43,77,91,120,140,170,190,220,220,220
,Aggregated,3247,1319,28,71.01085611336151,2.203100000770064,507.43140000122366,298.30150908530953,231.19503828461356,93.91630905371274,28,85,120,140,200,230,270,300,490,510,510
