Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login [POST],25,0,900,978.0273359998682,500.5359999995562,1450.5439000004117,253.0,1.7697137860399466,0.0,900,1300,1300,1400,1400,1400,1500,1500,1500,1500,1500
POST,/api/v1/bookings/ [POST],514,0,88,102.0160587548353,19.02650000010908,645.5492999994021,267.0,36.3853154409813,0.0,88,120,130,140,180,210,260,370,650,650,650
GET,/api/v1/events/ [GET],77,0,45,52.72914675317059,6.849999999758438,231.63060000115365,532.0,5.450718461003036,0.0,45,62,74,77,89,110,200,230,230,230,230
GET,/api/v1/events/{id} [GET],127,0,40,50.24525433068412,5.548299999645678,250.16040000082285,481.0,8.99014603308293,0.0,40,55,63,67,94,100,230,230,250,250,250
,Aggregated,743,0,74,117.53462880211718,5.548299999645678,1450.5439000004117,330.5706594885599,52.59589372110721,0.0,74,100,120,140,190,250,870,1300,1500,1500,1500
