Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],1399,399,18,26.175533166555567,3.1161000006250106,379.8196999996435,210.52966404574696,99.53021838215865,28.386388230508437,18,25,31,36,51,73,120,140,380,380,380
GET,/api/v1/events/ [GET],170,0,8,11.639829411765009,2.7597000007517636,80.71270000073127,531.3117647058823,12.094451125780537,0.0,8,10,13,14,25,34,44,72,81,81,81
GET,/api/v1/events/{id} [GET],323,0,7,10.550523219848085,2.0569999996951083,61.73820000003616,480.36842105263156,22.97945713898302,0.0,7,11,14,15,20,26,35,51,62,62,62
,Aggregated,1892,399,14,22.20198779070942,2.0569999996951083,379.8196999996435,285.419133192389,134.6041266469222,28.386388230508437,14,21,27,31,45,63,110,130,380,380,380
