Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login [POST],78,0,5900,5834.547170512753,3271.053500000562,8449.364199999764,253.0,6.57391394719054,0.0,5900,6600,7300,7400,7400,8400,8400,8400,8400,8400,8400
GET,/api/v1/events/ [GET],2,0,7900,7275.793199999498,6622.545099999115,7929.041299999881,533.0,0.16856189608180872,0.0,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
GET,/api/v1/events/{id} [GET],2,0,6600,6527.150900000379,6435.427000000345,6618.8748000004125,482.0,0.16856189608180872,0.0,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600
,Aggregated,82,0,6000,5886.592286585298,3271.053500000562,8449.364199999764,265.4146341463415,6.911037739354158,0.0,6000,6600,7300,7400,7400,7900,8400,8400,8400,8400,8400
