Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],702,0,13,17.373577065522102,7.042600000204402,127.61870000031195,267.0,49.85009016404725,0.0,13,18,21,24,30,37,49,58,130,130,130
GET,/api/v1/events/ [GET],75,0,6,7.892777333327103,2.5296000003436347,42.84820000066247,532.0133333333333,5.325864333765732,0.0,6,7,8,9,13,26,40,43,43,43,43
GET,/api/v1/events/{id} [GET],192,0,4,6.163987499964681,2.1042999997007428,64.22489999931713,481.0,13.634212694440274,0.0,4,6,7,7,10,14,21,59,64,64,64
,Aggregated,969,0,11,14.4186738905978,2.1042999997007428,127.61870000031195,329.9143446852425,68.81016719225326,0.0,11,14,18,21,27,35,48,58,130,130,130
