Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],1326,0,200,237.627675037701,7.794400000420865,1321.9481000005544,267.0,69.41657846965,0.0,200,350,390,410,500,560,630,780,1300,1300,1300
GET,/api/v1/events/{id} [GET],344,0,110,132.96455784885163,3.112200000032317,457.69579999978305,486.0,18.008524127873002,0.0,110,200,230,240,300,340,370,400,460,460,460
,Aggregated,1670,0,170,216.0683263473032,3.112200000032317,1321.9481000005544,312.111377245509,87.42510259752301,0.0,170,310,370,390,480,540,620,700,1300,1300,1300
