Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],2230,0,330,332.8940222869899,7.999099999324244,1022.181699999237,267.0,117.00222795018263,0.0,330,360,390,410,470,540,640,750,970,1000,1000
GET,/api/v1/events/{id} [GET],563,0,210,216.9227186500981,2.9708000001846813,662.0586999997613,486.0,29.53912750491158,0.0,210,240,260,270,320,380,460,520,660,660,660
,Aggregated,2793,0,310,309.5170641962024,2.9708000001846813,1022.181699999237,311.14500537056927,146.54135545509422,0.0,310,350,370,390,460,520,620,730,970,1000,1000
