Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],2000,1000,160,169.86191254999608,3.2998999995470513,838.4769000003871,168.0,142.10425735892292,71.05212867946146,160,240,270,280,350,420,520,640,820,840,840
GET,/api/v1/events/ [GET],232,0,53,97.70168189656316,3.001600000061444,529.4180999990203,531.0560344827586,16.48409385363506,0.0,53,140,160,170,220,270,350,390,530,530,530
GET,/api/v1/events/{id} [GET],474,0,42,88.4142040084289,2.4645000012242235,533.3951000011439,479.92616033755274,33.678708994064735,0.0,42,130,160,170,220,260,340,380,530,530,530
,Aggregated,2706,1000,120,149.40833259423138,2.4645000012242235,838.4769000003871,253.76570583887658,192.26706020662272,71.05212867946146,120,200,250,270,320,390,500,560,810,840,840
