Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],1315,315,23,37.83051155890534,4.171999999016407,389.79829999880167,219.5703422053232,93.43775801006913,22.382428724845457,23,40,50,57,90,110,140,150,370,390,390
GET,/api/v1/events/ [GET],172,0,12,20.330322674443206,2.8044999999110587,103.87839999930293,531.4302325581396,12.221516637058473,0.0,12,20,26,30,48,65,92,97,100,100,100
GET,/api/v1/events/{id} [GET],340,0,9,15.697239411726033,2.188300000852905,134.77640000019164,480.45588235294116,24.15881195697605,0.0,9,15,19,24,35,51,79,89,130,130,130
,Aggregated,1827,315,18,32.06403918990236,2.188300000852905,389.79829999880167,297.480021893815,129.81808660410366,22.382428724845457,18,31,42,50,79,100,130,150,370,390,390
