Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],1418,418,12,16.338484837818335,3.1195000010484364,212.73650000148336,208.63328631875882,100.97602430165567,29.76585201557974,12,17,20,23,31,40,56,69,130,210,210
GET,/api/v1/events/ [GET],181,0,7,8.351512707217783,2.7893999995285412,40.44100000101025,981.353591160221,12.889041183779742,0.0,7,8,10,10,15,22,35,36,40,40,40
GET,/api/v1/events/{id} [GET],330,0,6,7.239174242369534,2.122800000506686,36.64869999920484,480.24848484848485,23.499356854405058,0.0,6,7,8,10,13,19,23,29,37,37,37
,Aggregated,1929,418,10,14.032412026964625,2.122800000506686,212.73650000148336,327.60445826853294,137.36442233984047,29.76585201557974,10,14,17,20,27,37,50,64,130,210,210
