Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],2127,1127,58,128.19364565115063,3.3136999991256744,822.5850999988324,162.0888575458392,152.0226013469853,80.54982215235188,58,180,230,250,320,380,480,550,750,820,820
GET,/api/v1/events/ [GET],279,0,17,71.3593405018081,2.823799999532639,452.9194999995525,530.8172043010753,19.940905395302728,0.0,17,53,140,160,200,260,330,370,450,450,450
GET,/api/v1/events/{id} [GET],513,0,19,70.24424639380139,2.4823000003380002,601.7921999991813,479.8421052631579,36.665535726846954,0.0,19,68,120,140,200,230,330,380,600,600,600
,Aggregated,2919,1127,43,112.57706019185422,2.4823000003380002,822.5850999988324,253.17574511819117,208.629042469135,80.54982215235188,43,140,200,230,300,360,440,500,750,820,820
