Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],266,0,15,18.409776315752254,7.011100000454462,199.19649999974354,267.0,18.833561372136995,0.0,15,19,21,23,27,32,46,82,200,200,200
GET,/api/v1/events/ [GET],45,0,6,8.127984444217873,3.384100000403123,22.528700001203106,532.0,3.1861288035570103,0.0,6,9,9,13,14,17,23,23,23,23,23
GET,/api/v1/events/{id} [GET],76,0,6,6.958213157806887,2.29120000039984,45.006299998931354,481.0,5.3810175348962845,0.0,6,7,7,8,9,11,44,45,45,45,45
,Aggregated,387,0,12,14.965333333264153,2.29120000039984,199.19649999974354,339.8397932816537,27.40070771059029,0.0,12,16,18,20,26,30,44,51,200,200,200
