Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],1062,0,17,23.86211186442157,7.360000000517175,194.17350000003353,267.0,55.64933704484592,0.0,17,22,25,29,43,65,91,120,180,190,190
GET,/api/v1/events/{id} [GET],267,0,5,7.896427715317164,2.4750000002313755,68.32809999923484,486.0,13.990935019749399,0.0,5,7,8,10,16,23,31,37,68,68,68
,Aggregated,1329,0,15,20.6545590669717,2.4750000002313755,194.17350000003353,310.9977426636569,69.64027206459532,0.0,15,19,23,26,38,61,89,110,180,190,190
