Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],670,0,15,20.862106417865366,6.7600999991555,208.0640999993193,267.0,47.607124657138876,0.0,15,20,24,27,36,52,72,100,210,210,210
GET,/api/v1/events/ [GET],97,0,8,8.797564948480678,2.863699999579694,30.50950000033481,532.0,6.892374763794733,0.0,8,10,11,12,13,20,27,31,31,31,31
GET,/api/v1/events/{id} [GET],182,0,5,7.118536813073001,2.1759999999630963,69.88739999906102,481.0,12.932084608357126,0.0,5,7,8,9,12,18,23,62,70,70,70
,Aggregated,949,0,12,16.99320210743067,2.1759999999630963,208.0640999993193,335.12750263435197,67.43158402929073,0.0,12,16,20,23,31,46,67,94,210,210,210
