Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],282,0,18,20.41019397172751,7.014200000412529,224.8963999991247,267.0,20.016214234873278,0.0,18,22,24,26,32,34,42,75,220,220,220
GET,/api/v1/events/ [GET],38,0,8,10.592736842083564,2.9741999987891177,95.48460000041814,532.0263157894736,2.6972203578907252,0.0,8,9,10,11,17,18,95,95,95,95,95
GET,/api/v1/events/{id} [GET],67,0,5,6.044004477447363,2.2238999990804587,18.534699998781434,481.0,4.755625367859963,0.0,5,6,7,8,10,12,16,19,19,19,19
,Aggregated,387,0,14,16.959036175750143,2.2238999990804587,224.8963999991247,330.0723514211886,27.469059960623966,0.0,14,19,22,24,30,33,41,75,220,220,220
