Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],353,0,310,323.21585240793826,8.26240000060352,960.0480999997671,267.0,104.19613166781589,0.0,310,390,430,470,620,720,860,910,960,960,960
GET,/api/v1/events/{id} [GET],97,0,220,243.3729113401625,3.218599999854632,819.3458000005194,486.0,28.631798220334677,0.0,220,290,340,370,460,560,660,820,820,820,820
,Aggregated,450,0,290,306.0052628888845,3.218599999854632,960.0480999997671,314.20666666666665,132.82792988815055,0.0,290,370,410,450,590,690,840,880,960,960,960
