Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/bookings/ [POST],436,0,15,17.745550229350673,6.986700000197743,186.80680000034044,267.0,22.822947324285426,0.0,15,18,20,23,30,36,46,51,190,190,190
GET,/api/v1/events/{id} [GET],110,0,5,6.6282500000191,2.367400000366615,75.8438999991995,485.72727272727275,5.758083040530726,0.0,5,6,7,8,10,12,13,51,76,76,76
,Aggregated,546,0,13,15.505801098899257,2.367400000366615,186.80680000034044,311.0659340659341,28.58103036481615,0.0,13,16,19,20,29,35,46,51,190,190,190
